DatoPaaskeId;PaaskeAften;PaaskeFerieUke;Aar;MaalTall
1;2020-04-11;15;2020;43930
2;2021-04-03;13;2021;44287
3;2022-04-16;15;2022;44665
4;2023-04-08;14;2023;45022
5;2024-03-30;13;2024;45379
6;2025-04-19;16;2025;45764
7;2026-04-04;14;2026;46114
8;2027-03-27;12;2027;46471
9;2028-04-15;15;2028;46856
10;2029-03-31;13;2029;47206
11;2030-04-20;16;2030;47591
12;2031-04-12;15;2031;47948
13;2032-03-27;13;2032;48298
14;2033-04-16;15;2033;48683
15;2034-04-08;14;2034;49040
16;2035-03-24;12;2035;49390
17;2036-04-12;15;2036;49775
18;2037-04-04;14;2037;50132
19;2038-04-24;16;2038;50517
20;2039-04-09;14;2039;50867
21;2040-03-31;13;2040;51224
